rows,alpha,time
3,1,695454153
3,65,3887132721
3,129,6476465257
3,193,9093717790
3,257,11483352592
3,321,14216997926
3,385,16770926531
3,449,19089059545
3,513,21850825794
3,577,24338040436
3,641,26948867775
23,1,740951100
23,65,16685186908
23,129,19249164095
23,193,21799015291
23,257,24278881808
23,321,26879688656
23,385,29452691778
23,449,32026251861
23,513,34212412945
23,577,36726349033
23,641,39592716961
43,1,851604268
43,65,31026701008
43,129,33625333636
43,193,36117820089
43,257,38859841546
43,321,41467606313
43,385,44164428738
43,449,46824233135
43,513,49066028844
43,577,51330654703
43,641,53974277642
63,1,987977343
63,65,39211752548
63,129,50665586985
63,193,53054556940
63,257,55677768830
63,321,58085239171
63,385,60491299222
63,449,63419882113
63,513,66060321405
63,577,68363055719
63,641,70903959169
83,1,1117666499
83,65,39048797441
83,129,71150404647
83,193,74110589013
83,257,76699510115
83,321,79334559712
83,385,81825912867
83,449,84001613556
83,513,86841486764
83,577,89444203052
83,641,91989607082
103,1,1239560421
103,65,39148563815
103,129,77303481794
103,193,91134168549
103,257,93775863875
103,321,95946184322
103,385,98974814101
103,449,101218170062
103,513,103776418098
103,577,106004905429
103,641,108173183148
123,1,1375521049
123,65,39326520959
123,129,77289143322
123,193,107662601553
123,257,110664408959
123,321,112781317002
123,385,115236769748
123,449,118280021662
123,513,120850974748
123,577,123266281801
123,641,125864490561
143,1,1492249316
143,65,39337788709
143,129,77628674546
143,193,115790009237
143,257,133171144345
143,321,135859887279
143,385,137906245824
143,449,139903881599
143,513,143008430814
143,577,146162892669
143,641,148545324231
163,1,1627574228
163,65,39620505452
163,129,77624851740
163,193,116176332867
163,257,154202572211
163,321,157187245714
163,385,159999398081
163,449,162411007242
163,513,164174865405
163,577,166964501392
163,641,170384077844
183,1,1753189504
183,65,39851038179
183,129,77823732930
183,193,115958560308
183,257,153790624107
183,321,171671756716
183,385,173418611718
183,449,176968153255
183,513,179632840416
183,577,181649089919
183,641,184605755096
203,1,1870543613
203,65,39843931743
203,129,77816524442
203,193,115841734651
203,257,154231826879
203,321,189686987557
203,385,191985710238
203,449,194803745623
203,513,198022155424
203,577,200235179542
203,641,202479497877
